"结果  :  新查询"
"保存时间:11/20/2020 12:34:27"

"用户名:ly_wy_zuoxiaolin"

"总共 7,456    条"

"开始时间","周期（分钟）","网元名称","小区","小区PDCP层所发送的下行数据的总吞吐量 (比特)","小区PDCP层所接收到的上行数据的总吞吐量 (比特)","小区内的最大用户数 (无)","小区内的平均用户数 (无)","RRC连接请求次数（包括重发） (无)","RRC连接建立完成次数 (无)","E-RAB建立尝试总次数 (无)","E-RAB建立成功总次数 (无)","eNodeB发起的S1 RESET导致的UE Context释放次数 (无)","UE Context异常释放次数 (无)","eNodeB等待初始上下文建立请求超时触发的UE Context释放次数 (无)","UE Context建立成功总次数 (无)","小区遗留UE Context个数 (无)","eNodeB间同频切换出成功次数 (无)","eNodeB间异频切换出成功次数 (无)","eNodeB内同频切换出成功次数 (无)","eNodeB内异频切换出成功次数 (无)","eNodeB间同频切换出尝试次数 (无)","eNodeB间异频切换出尝试次数 (无)","eNodeB内同频切换出执行次数 (无)","eNodeB内异频切换出执行次数 (无)","通过重建回源小区的eNodeB内异频切换出执行成功次数 (无)","通过重建回源小区的eNodeB内同频切换出执行成功次数 (无)","通过重建回源小区的eNodeB间异频切换出执行成功次数 (无)","通过重建回源小区的eNodeB间同频切换出执行成功次数 (无)","PRB利用率下行 (无)","PRB利用率上行 (无)","上行PUSCH的Physical Resource Block被使用的平均个数 (无)","上行可用的PRB个数 (无)","下行Physical Resource Block被使用的平均个数 (无)","下行可用的PRB个数 (无)","QCI为1的业务E-RAB建立尝试次数 (无)","QCI为1的业务E-RAB建立成功次数 (无)","eNodeB触发的QCI为1的业务E-RAB异常释放次数 (无)","切换出QCI为1的E-RAB异常释放次数 (无)","QCI为1的遗留E-RAB个数 (无)","QCI为1的切换入E-RAB成功建立次数 (无)","eNodeB发起的S1 RESET导致的QCI为1的E-RAB异常释放次数 (无)","资源分配失败而导致RRC连接建立失败次数 (无)"
11/20/2020 12:00:00,15,"洛阳孟津麻屯郑通路NB900-HLH","eNodeB名称=洛阳孟津麻屯郑通路NB900-HLH, 本地小区标识=13, 小区名称=洛阳孟津麻屯郑通路-HFHH-2, eNodeB标识=114757, 小区双工模式=CELL_FDD, 小区标识=77",3347028952,153989792,26,13.814,413,413,723,723,0,0,0,393,17,11,36,2,0,11,36,2,0,0,0,0,0,0.344,0.062,1.538,25,8.608,25,9,9,0,0,3,3,0,0
11/20/2020 12:00:00,15,"洛阳栾川常门F-HLH","eNodeB名称=洛阳栾川常门F-HLH, 本地小区标识=2, 小区名称=洛阳栾川常门F-HLH-3, eNodeB标识=11183, 小区双工模式=CELL_TDD, 小区标识=130",1876903560,492510184,27,16.648,620,619,1058,1058,0,2,0,608,15,112,1,54,0,112,1,54,0,0,0,0,0,0.094,0.132,13.18,100,9.447,100,14,14,0,0,0,7,0,0
11/20/2020 12:00:00,15,"洛阳栾川潭头街F-HLH","eNodeB名称=洛阳栾川潭头街F-HLH, 本地小区标识=13, 小区名称=洛阳栾川潭头街FDD1800-HLH-2, eNodeB标识=246731, 小区双工模式=CELL_FDD, 小区标识=13",3807314608,695676800,40,25.255,767,766,1399,1399,0,0,0,728,18,182,1,122,0,182,1,122,0,0,0,0,1,0.109,0.061,6.094,100,10.876,100,37,37,0,0,2,34,0,0
11/20/2020 12:00:00,15,"洛阳宜阳罗村北GTF-HLH","eNodeB名称=洛阳宜阳罗村北GTF-HLH, 本地小区标识=2, 小区名称=洛阳宜阳罗村北（高铁）GTA-HLH-1, eNodeB标识=236086, 小区双工模式=CELL_TDD, 小区标识=2",207894280,47254832,20,1.237,157,156,203,203,0,0,0,112,0,64,0,0,5,64,0,0,5,0,0,0,0,0.034,0.029,2.198,75,2.537,75,0,0,0,0,0,10,0,0
11/20/2020 12:00:00,15,"洛阳嵩县邮政局D-HLH","eNodeB名称=洛阳嵩县邮政局D-HLH, 本地小区标识=8, 小区名称=洛阳嵩县邮政局F-HLH-3, eNodeB标识=236462, 小区双工模式=CELL_TDD, 小区标识=8",4783439352,278261264,32,18.164,233,233,339,339,0,0,0,218,15,74,54,17,0,74,54,17,0,0,0,0,0,0.3,0.127,12.689,100,30.043,100,10,10,0,0,0,13,0,0
11/20/2020 12:00:00,15,"洛阳嵩县蛮峪F-HLH","eNodeB名称=洛阳嵩县蛮峪F-HLH, 本地小区标识=25, 小区名称=洛阳嵩县蛮峪FDD900-HLH-2, eNodeB标识=11101, 小区双工模式=CELL_FDD, 小区标识=189",1558066184,51271056,7,2.682,89,89,137,137,0,0,0,78,2,0,0,6,0,0,0,6,0,0,0,0,0,0.076,0.019,0.939,50,3.794,50,2,2,0,0,0,6,0,0
11/20/2020 12:00:00,15,"洛阳栾川地质公园F-HLH","eNodeB名称=洛阳栾川地质公园F-HLH, 本地小区标识=25, 小区名称=洛阳栾川地质公园FDD1800-HLH-2, eNodeB标识=245774, 小区双工模式=CELL_FDD, 小区标识=61",4945684104,566640624,37,25.516,918,918,1644,1644,0,0,0,915,22,16,1,7,0,16,1,7,0,0,0,0,0,0.128,0.072,7.169,100,12.816,100,15,15,0,0,2,14,0,0
11/20/2020 12:00:00,15,"洛阳洛宁草原兴发-HEHH","eNodeB名称=洛阳洛宁草原兴发-HEHH, 本地小区标识=13, 小区名称=洛阳洛宁草原兴发-HEHH-2, eNodeB标识=741953, 小区双工模式=CELL_FDD, 小区标识=77",5754340928,315477288,38,24.706,724,722,1132,1132,0,0,0,636,28,54,7,20,0,54,7,20,0,0,0,0,0,0.358,0.048,4.79,100,35.831,100,13,13,0,0,2,11,0,0
11/20/2020 12:00:00,15,"洛阳嵩县安沟F-HLH","eNodeB名称=洛阳嵩县安沟F-HLH, 本地小区标识=2, 小区名称=洛阳嵩县安沟F-HLH-3, eNodeB标识=745497, 小区双工模式=CELL_TDD, 小区标识=130",8613520808,355658616,44,31.378,1066,1066,1932,1932,0,1,0,1059,25,0,0,4,0,0,0,4,0,0,0,0,0,0.166,0.113,11.341,100,16.561,100,5,5,0,0,0,0,0,0
11/20/2020 12:00:00,15,"洛阳洛宁吴村西NB900-HLH","eNodeB名称=洛阳洛宁吴村西NB900-HLH, 本地小区标识=14, 小区名称=洛阳洛宁吴村西FDD1800-HLH-3, eNodeB标识=741795, 小区双工模式=CELL_FDD, 小区标识=78",8079987272,1122770384,90,64.976,3129,3127,5562,5562,0,0,0,3074,68,50,29,19,0,51,29,19,0,0,0,0,0,0.215,0.055,5.49,100,21.512,100,72,72,0,0,2,31,0,0
11/20/2020 12:00:00,15,"洛阳嵩县城关大公峪金矿F-HLH","eNodeB名称=洛阳嵩县城关大公峪金矿F-HLH, 本地小区标识=0, 小区名称=洛阳嵩县城关大公峪金矿F-HLH-1, eNodeB标识=102433, 小区双工模式=CELL_TDD, 小区标识=64",3103947048,117997600,27,17.064,618,617,1150,1150,0,1,0,612,23,0,0,20,0,0,0,20,0,0,0,0,0,0.097,0.049,4.89,100,9.687,100,8,8,1,0,1,0,0,0
11/20/2020 12:00:00,15,"洛阳栾川检察院1E-HLW","eNodeB名称=洛阳栾川检察院1E-HLW, 本地小区标识=0, 小区名称=洛阳栾川检察院单E-HLW, eNodeB标识=12061, 小区双工模式=CELL_TDD, 小区标识=144",464394728,49102520,17,9.337,389,389,767,767,0,0,0,388,9,42,8,0,0,42,8,0,0,0,0,0,0,0.039,0.045,4.458,100,3.898,100,12,12,0,0,1,7,0,0
11/20/2020 12:00:00,15,"洛阳孟津麻屯郑通路NB900-HLH","eNodeB名称=洛阳孟津麻屯郑通路NB900-HLH, 本地小区标识=12, 小区名称=洛阳孟津麻屯郑通路-HFHH-1, eNodeB标识=114757, 小区双工模式=CELL_FDD, 小区标识=76",2291710416,87045032,11,6.002,145,145,238,238,0,0,0,134,9,17,14,4,0,17,14,4,0,0,0,0,0,0.172,0.024,1.178,50,8.613,50,4,4,0,0,0,4,0,0
11/20/2020 12:00:00,15,"洛阳栾川嶂崤F-HLH","eNodeB名称=洛阳栾川嶂崤F-HLH, 本地小区标识=0, 小区名称=洛阳栾川嶂崤F-HLH-1, eNodeB标识=273529, 小区双工模式=CELL_TDD, 小区标识=128",244615248,57374472,16,9.438,508,507,918,916,0,0,0,499,6,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0.03,3.017,100,2.776,100,7,7,0,0,1,0,0,0
